SG_PARTIDO,VR_LANCAMENTO,CANDIDATO,QT_VOTOS_TOT
#NULO#,8540060.46,NULO_QT_VOTOS_TOT,3487874
DC,65280566.089999996,CONSTITUINTE_EYMAEL_QT_VOTOS_TOT,16604
MDB,2315204831.22,SIMONE_TEBET_QT_VOTOS_TOT,4915423
NOVO,322233240.02,FELIPE_DAVILA_QT_VOTOS_TOT,559708
PCB,7584882.76,SOFIA_MANZANO_QT_VOTOS_TOT,45620
PDT,1708791695.83,CIRO_GOMES_QT_VOTOS_TOT,3599287
PL,2024522558.37,JAIR_BOLSONARO_QT_VOTOS_TOT,51072345
PSTU,1428719.01,VERA_QT_VOTOS_TOT,25625
PT,1396615153.77,LULA_QT_VOTOS_TOT,57259504
PTB,712547174.39,PADRE_KELMON_QT_VOTOS_TOT,81129
UNIÃO,6922091770.7,SORAYA_THRONICKE_QT_VOTOS_TOT,600955
UP,11441095.77,LEO_PERICLES_QT_VOTOS_TOT,53519
